"filename", "language", "JavaScript", "JSON", "Markdown", "comment", "blank", "total"
"g:\Dev\MusicBotF2Git\README.md", "Markdown", 0, 0, 1, 0, 1, 2
"g:\Dev\MusicBotF2Git\commands\clear.js", "JavaScript", 69, 0, 0, 4, 1, 74
"g:\Dev\MusicBotF2Git\commands\embed.js", "JavaScript", 94, 0, 0, 4, 5, 103
"g:\Dev\MusicBotF2Git\commands\lyrics.js", "JavaScript", 59, 0, 0, 4, 5, 68
"g:\Dev\MusicBotF2Git\commands\nowplaying.js", "JavaScript", 10, 0, 0, 4, 1, 15
"g:\Dev\MusicBotF2Git\commands\pause.js", "JavaScript", 15, 0, 0, 4, 3, 22
"g:\Dev\MusicBotF2Git\commands\ping.js", "JavaScript", 25, 0, 0, 4, 1, 30
"g:\Dev\MusicBotF2Git\commands\play.js", "JavaScript", 108, 0, 0, 4, 8, 120
"g:\Dev\MusicBotF2Git\commands\playmp3.js", "JavaScript", 48, 0, 0, 4, 2, 54
"g:\Dev\MusicBotF2Git\commands\queue.js", "JavaScript", 15, 0, 0, 4, 2, 21
"g:\Dev\MusicBotF2Git\commands\resume.js", "JavaScript", 15, 0, 0, 4, 3, 22
"g:\Dev\MusicBotF2Git\commands\skip.js", "JavaScript", 15, 0, 0, 4, 3, 22
"g:\Dev\MusicBotF2Git\commands\ticketmessage.js", "JavaScript", 80, 0, 0, 4, 1, 85
"g:\Dev\MusicBotF2Git\config.json", "JSON", 0, 9, 0, 0, 0, 9
"g:\Dev\MusicBotF2Git\events\guildMemberAdd.js", "JavaScript", 31, 0, 0, 5, 6, 42
"g:\Dev\MusicBotF2Git\events\interactionCreate.js", "JavaScript", 61, 0, 0, 5, 1, 67
"g:\Dev\MusicBotF2Git\events\messageCreate.js", "JavaScript", 37, 0, 0, 5, 2, 44
"g:\Dev\MusicBotF2Git\events\ready.js", "JavaScript", 14, 0, 0, 4, 5, 23
"g:\Dev\MusicBotF2Git\index.js", "JavaScript", 312, 0, 0, 2, 18, 332
"g:\Dev\MusicBotF2Git\package-lock.json", "JSON", 0, 3809, 0, 0, 1, 3810
"g:\Dev\MusicBotF2Git\package.json", "JSON", 0, 37, 0, 0, 0, 37
"Total", "-", 1008, 3855, 1, 69, 69, 5002